,Chinatown,Russian Hill,Mission Bay,Nob Hill,Marina,Sunset,Noe Valley,Inner Richmond,Bernal Heights,Glenn Park
2003,1940,1186,435,1346,121,383,38,1501,1473,427
2004,2012,1295,358,1527,118,485,38,1497,1606,474
2005,1981,1288,309,1498,93,508,40,1390,1460,443
2006,1822,1126,302,1261,105,370,23,1209,1324,466
2007,1898,1057,344,1257,96,396,27,1193,1352,386
2008,1781,1189,351,1184,117,435,35,1233,1267,394
2009,1774,1201,329,1145,112,407,27,1190,1255,385
2010,1597,1029,419,1105,105,391,26,1173,1236,378
2011,1650,995,339,1035,98,399,36,1229,1176,401
2012,1870,1099,460,1131,131,485,32,1471,1357,448
2013,2001,1294,450,1233,139,413,45,1585,1584,524
2015,765,549,256,457,67,136,8,462,387,141
2016,32,22,13,15,4,10,,36,26,9
2017,31,36,14,20,6,9,,24,20,5
2018,1897,1302,785,978,134,607,22,1165,917,280
2019,6,1,19,3,,2,,3,2,5
2020,36,23,77,21,4,23,2,37,20,18
2021,2362,1869,1555,1417,171,526,71,1679,1471,610
2022,1583,1183,992,944,190,404,20,1288,1106,424
